%Molecule(XCLASSTAG)_RangeNumber LowerFreqRange[MHz] UpperFreqRange[MHz]
C-13-O;v=0; 220369 220429
CO-18;v=0; 219530 219590
SO;v=0;#1 219919 219979
S-33-O;v=0; 217825 217862
SO2;v=0; 219246 219385
S-33-O2;v=0; 220608 220628
SO2;v2=1; 219400 220178
OCS;v=0; 218169 218933
DCN;v=0; 217209 217269
SiS;v=0; 217812 217822
H2CO;v=0; 218192 219939
HNCO;v=0; 218951 220590
H2CN;v=0; 219848 219890
H2CN;v=0; 220014 220024
HCCCN;v=0; 217369 218355
HCCCN;v6=1; 218653 218713
HCCCN;v7=1; 218831 219204
HCCCN;v7=2; 219665 219725
t-HCOOH;v=0; 220028 220048
H2CCO;v=0; 220172 220189
c-C3H2;v=0; 217527 217537
c-C3H2;v=0; 217817 218827
c-C3H2;v=0; 217935 217945
c-C3H2;v=0; 218050 218060
NH2CN;v=0; 219437 219447
CH3CN;v=0; 220590 220700
CH3OH;v=0; 217369 220108
CH3OH;v12=1; 217269 217673
HC(O)NH2;v=0; 218454 218464
C2H3CN;v=0; 218510 218595
CH3OCHO;v=0; 218271 218308
CH3OCHO;v=0; 220180 220200
CH3OCHO;v18=1; 217308 217318
CH3OCHO;v18=1; 218104 218114
CH3OCHO;v18=1; 219150 219160
CH3OCHO;v18=1; 219964 219974
CH3OCHO;v18=1; 220025 220035
C2H5CN;v=0; 218380 218400
C2H5CN;v=0; 219496 219516
CH3OCH3;v=0; 218487 218497
CH3COCH3;v=0; 218117 218137
CH3COCH3;v=0; 219232 219252
CH3COCH3;v=0; 220345 220378
